Stelle 0,Stelle1,Stelle 2,Stelle 3,Stelle 4,Stelle 5,Stelle 6,Stelle 7,Stelle 8,Stelle 9,Stelle 10,Stelle 11,Stelle 12,Stelle 13,Stelle 14,,
ID,Schwierig(1-5),"Kategorie 0=Gesch, 1=Geogr, 2=Naturwiss,3=Sport , 4=Medizin, 5=Literatur, 6=Klatsch , 7=Essen, 8= Musik, 9= Kunst",Bildname,Bildendung: 0 = .jpg,Musikname,Musikendung,Frage Deutsch,Antwort Deutsch,Zusatzinfo Deutsch,Hauptwort an Stelle Deutsch,Question English,Answer English,Additional Info English,Main Word Position English,Link zum Originalbild,Link zur Originalmusik
1,2,0,,,,,In welchem Jahr fiel die Berliner Mauer?,1989,,0,In which year did the Berlin wall fall?,1989,,0,,
2,3,2,,,,,"Welches Tier wird auf Spanisch ""Cuyo"" genannt?",Meerschweinchen,,0,"Which animal is called ""Cuyo"" in Spanish?",Guinea pig,,0,,
3,4,2,,,,,Welches Element hat die höchste Dichte?,Osmium,"Mit 22,6 Gramm pro Kubikzentimeter.",0,Which element has the highest density?,osmium,With 22.6 grams per cubic centimeter.,0,,
4,0,1,,,,,In welcher Stadt steht das Brandenburger Tor?,Berlin,,0,In which city is the Brandenburg Gate in?,Berlin,,0,,
5,0,2,,,,,Wieviele Räder hat ein Quad?,4,,0,How many wheels does a quad have?,4,,0,,
6,1,1,,,,,Wie heißt die Hauptstadt der Türkei?,Ankara,,0,What is the name of the capital of Turkey?,Ankara,,0,,
7,2,3,,,,,Welches Land wurde 1986 Fußball Weltmeister bei den Männern?,Argentinien,Sie gewannen im Finale mit 3 zu 2 gegen Deutschland.,0,Which country became soccer world champion among men in 1986?,Argentina,They won 3 to 2 against Germany in the final.,0,,
8,4,0,,,,,In welchem Jahr ereignete sich die Schlacht von Hastings?,1066,In dieser Schlacht besiegten die Normannen die Angelsachsen und legten den Grundstein zur Eroberung Englands.,0,In what year did the Hastings battle occur?,1066,"In this battle, the Normans defeated the Anglo -Saxons and laid the foundation for the conquest of England.",0,,
9,2,6,,,,,Wie heißt der jüngere Sohn von Will Smith mit Vornamen?,Jaden,,0,What is the name of Will Smith's younger son with the first name?,Jaden,,0,,
